ID,potency,motif,binding_energy,GC_content,concentration,palmitoylation
NAC8364,0.71,3,-8,0.4,1,0
NAC8365,0.66,4,-8.5,0.533,1,0
NAC8366,0.88,2,-8.8,0.533,1,0
NAC8367,0.73,1,-9.7,0.6,1,0
NAC8368,0.63,5,-9.4,0.6,1,0
NAC8369,0.4,8,-10.1,0.533,1,0
NAC8370,0.84,9,-10.1,0.533,1,0
NAC8371,0.71,4,-10.1,0.467,1,1
NAC8372,0.35,6,-9.9,0.467,1,1
NAC8373,0.61,4,-10.3,0.4,1,1
NAC8374,0.65,1,-10.6,0.4,1,1
NAC8375,0.68,3,-10.8,0.467,1,1
NAC8376,0.55,8,-11.2,0.533,1,1
NAC8377,0.533,5,-11.5,0.467,1,1
NAC8378,0.69,6,-12.8,0.6,1,1
NAC8379,0.35,6,-13.5,0.467,1,1
NAC8078,0.74,4,-12.7,0.4,1,0
NAC8079,0.68,7,11.7,0.533,1,0
NAC8080,0.59,7,-10.8,0.467,1,0
NAC8081,0.58,9,-9.3,0.467,1,0
NAC8082,0.68,2,-8.1,0.533,1,0
NAC8083,0.88,1,-8.2,0.4,1,0
NAC8084,0.75,3,-8,0.467,1,0
NAC8085,0.63,5,-8.2,0.533,1,0
NAC8086,0.48,6,-8,0.5,1,0
NAC8087,0.68,8,-8.3,0.5,1,1
NAC8088,0.69,4,-9,0.533,1,1
NAC8089,0.28,2,-9.3,0.4,1,1
NAC8090,0.77,5,-8.4,0.467,1,1
NAC8091,0.69,7,-9,0.533,1,1
NAC8092,0.77,5,-9.3,0.4,1,1
NAC8402,0.57,6,-9.5,0.4,1,1
NAC8403,0.68,7,-9.5,0.5,1,1
NAC8404,0.66,1,-8.7,0.5,1,1
NAC8405,0.77,2,-8.2,0.533,1,0
NAC8406,0.86,5,-9.2,0.4,1,0
NAC8407,0.91,9,-8.7,0.4,1,0
NAC8408,0.77,2,-8.3,0.467,1,0
NAC8409,0.88,1,-11.3,0.533,1,0
NAC8410,0.68,5,-10.6,0.533,1,0
NAC8411,0.9,8,-10.8,0.6,1,0
NAC8412,0.88,6,-9.3,0.4,1,1
NAC8413,0.56,8,-10,0.467,1,1
NAC8414,0.68,7,-11,0.533,1,1
NAC8415,0.67,2,-10.3,0.467,1,1
NAC8416,0.74,2,-8.8,0.4,1,1
NAC8417,0.75,1,-6.8,0.4,1,1
NAC8418,0.81,5,-7.4,0.4,1,1
NAC8419,0.39,9,-8.3,0.533,1,1
NAC8420,0.46,2,-9.1,0.467,1,0
NAC8421,0.49,5,-10.3,0.4,1,0
NAC8422,0.68,8,-8.6,0.533,1,0
NAC8423,0.58,5,-8.5,0.533,1,0
NAC8424,0.75,4,-9.3,0.467,1,0
NAC8425,0.78,2,-9.5,0.467,1,0
NAC8426,0.69,1,-9.5,0.4,1,0
NAC8427,0.88,4,-10.8,0.533,1,0
NAC8428,0.68,5,-9.3,0.6,1,0
NAC8429,0.69,3,-8.1,0.6,1,0
NAC8430,0.81,2,-10.8,0.533,1,0
NAC8431,0.66,4,-9.3,0.6,1,1
NAC8432,0.84,5,-10,0.467,1,1
NAC8433,0.57,2,-11,0.4,1,1
NAC8434,0.6,9,-10.1,0.533,1,1
NAC8435,0.66,7,-10.1,0.5,1,1
NAC8436,0.85,8,-9.9,0.467,1,1
NAC8437,0.66,5,-9.1,0.533,1,1
NAC8438,0.75,6,-9.6,0.467,1,1
NAC8439,0.85,2,-10.3,0.467,1,1
NAC8440,0.29,5,-9.1,0.533,1,0
NAC8514,0.57,8,-8.7,0.467,1,0
NAC8515,0.68,5,-8.2,0.4,1,0
NAC8516,0.66,1,-9.2,0.533,1,0
NAC8517,0.74,2,-8,0.467,1,0
NAC8518,0.75,6,-8.2,0.4,1,0
NAC8519,0.81,7,-8,0.533,1,0
NAC8520,0.66,5,-8.8,0.5,1,0
NAC8521,0.88,6,-9.7,0.533,1,0
NAC8522,0.73,9,-9.4,0.5,1,0
NAC8523,0.63,5,-10.1,0.5,1,1
NAC8524,0.68,2,-9.3,0.533,1,1
NAC8525,0.9,4,-9.5,0.533,1,1
NAC8526,0.88,1,-9.5,0.4,1,1
NAC8527,0.86,4,-9.9,0.533,1,1
NAC8528,0.91,3,-9.3,0.6,1,1
NAC8529,0.77,6,-8.9,0.6,1,1
NAC8530,0.85,8,-11.3,0.6,1,1
NAC8531,0.29,5,-8.7,0.4,1,1
NAC8532,0.57,3,-8.2,0.467,1,1
NAC8533,0.77,8,-9.2,0.533,1,1
NAC8534,0.88,3,-10.6,0.4,1,1
NAC8535,0.68,6,-11.6,0.533,1,1
NAC8536,0.57,8,-9.8,0.533,1,1
NAC8537,0.68,5,-9.7,0.6,1,0
NAC8538,0.66,8,-8.9,0.5,1,0
NAC8611,0.29,1,-9.4,0.533,1,0
NAC8612,0.57,3,-9.3,0.5,1,0
NAC8613,0.68,8,-10,0.533,1,0
NAC8614,0.66,5,-11,0.6,1,0
NAC8615,0.68,3,-10.3,0.6,1,0
NAC8616,0.59,6,-8.7,0.533,1,0
NAC8617,0.58,5,-8.2,0.467,1,0
NAC8618,0.68,7,-9.2,0.5,1,1
NAC8619,0.77,6,-8.8,0.533,1,1
NAC8620,0.69,8,-9.7,0.467,1,1
NAC8621,0.88,5,-9.4,0.4,1,1
NAC8622,0.69,9,-10.1,0.5,1,1
NAC8623,0.59,1,-9.6,0.5,1,1
NAC8624,0.61,2,-7.7,0.533,1,1
